demo,AlternateEmailAddresses,BlockCredential,City,Country,Department,DisplayName,Fax,FirstName,LastDirSyncTime,LastName,LastPasswordChangeTimestamp,LicenseAssignmentDetails,Licenses,MobilePhone,OathTokenMetadata,ObjectId,Office,PasswordNeverExpires,PhoneNumber,PostalCode,PreferredDataLocation,PreferredLanguage,ProxyAddresses,ReleaseTrack,SoftDeletionTimestamp,State,StreetAddress,StrongPasswordRequired,Title,UsageLocation,UserPrincipalName,WhenCreated
,,FALSE,,,,Florian Fassbinder,,Florian,,Fassbinder,2020-03-28 12:28:37Z,,Office 365 A5 for faculty,'+49 167 1438960,,59d4a2b9-977d-4282-b069-21afa3ecdd45,,FALSE,,,,,smtp:florian.fassbinder@bdsudemo.onmicrosoft.com+SMTP:florian.fassbinder@bdsu.it,,,,,TRUE,Beirat,DE,florian.fassbinder@bdsu.it,2020-03-28 12:28:37Z
,,FALSE,,,,Frank Richter,,Frank,,Richter,2020-03-28 12:29:11Z,,Office 365 A5 for students,'+49 166 1052258,,f03cf53b-7c2d-40fe-9203-f194078e0b64,,FALSE,,,,,smtp:frank.richter@bdsudemo.onmicrosoft.com+SMTP:frank.richter@bdsu.it,,,,,TRUE,Team Mitgliederentwicklung,DE,frank.richter@bdsu.it,2020-03-28 12:29:11Z
,,FALSE,,,,Heike Gerber,,Heike,,Gerber,2020-03-28 12:29:04Z,,Office 365 A5 for students,'+49 167 0239249,,fbdcf384-2ded-474b-ab0e-4949f48dd525,,FALSE,,,,,smtp:heike.gerber@bdsudemo.onmicrosoft.com+SMTP:heike.gerber@bdsu.it,,,,,TRUE,Vorstandsbereich QM & IT,DE,heike.gerber@bdsu.it,2020-03-28 12:29:04Z
,,FALSE,,,,Heike Traugott,,Heike,,Traugott,2020-03-28 12:29:06Z,,Office 365 A5 for students,'+49 165 1489702,,2b3934ea-c62c-4ab4-a98c-873c94c7e428,,FALSE,,,,,smtp:heike.traugott@bdsudemo.onmicrosoft.com+SMTP:heike.traugott@bdsu.it,,,,,TRUE,Alumnus/a,DE,heike.traugott@bdsu.it,2020-03-28 12:29:06Z
,,FALSE,,,,Ines Kaufmann,,Ines,,Kaufmann,2020-03-28 12:28:39Z,,Office 365 A5 for faculty,'+49 153 0988653,,8ac8249b-3cda-47ed-a147-b33b2dd6ef07,,FALSE,,,,,smtp:ines.kaufmann@bdsudemo.onmicrosoft.com+SMTP:ines.kaufmann@bdsu.it,,,,,TRUE,Teamleiter CRM,DE,ines.kaufmann@bdsu.it,2020-03-28 12:28:39Z
1,,FALSE,,,,Jan Schulz,,Jan,,Schulz,2020-03-28 12:28:38Z,,Office 365 A5 for faculty,'+49 165 0049146,,8225a688-ab52-4c7c-af77-15faae529cfa,,FALSE,,,,,smtp:jan.schulz@bdsudemo.onmicrosoft.com+SMTP:jan.schulz@bdsu.it,,,,,TRUE,Beirat,DE,jan.schulz@bdsu.it,2020-03-28 12:28:38Z
1,,FALSE,,,,Janina Kaestner,,Janina,,Kaestner,2020-03-28 12:29:07Z,,Office 365 A5 for students,'+49 153 9703784,,e95e7cc5-0d7a-4f2d-a8cd-c5ae89cbe63b,,FALSE,,,,,smtp:janina.kaestner@bdsudemo.onmicrosoft.com+SMTP:janina.kaestner@bdsu.it,,,,,TRUE,Team Kuratoren,DE,janina.kaestner@bdsu.it,2020-03-28 12:29:07Z
2,,FALSE,,,,Jessica Beich,,Jessica,,Beich,2020-03-28 12:29:09Z,,Office 365 A5 for students,'+49 166 3211761,,5c818b4b-fd1a-42eb-9376-d6e88aead25e,,FALSE,,,,,smtp:jessica.beich@bdsudemo.onmicrosoft.com+SMTP:jessica.beich@bdsu.it,,,,,TRUE,Team Recruiting,DE,jessica.beich@bdsu.it,2020-03-28 12:29:09Z
2,,FALSE,,,,Jürgen Kirsch,,Jürgen,,Kirsch,2020-03-28 12:29:12Z,,Office 365 A5 for students,'+49 154 9136759,,98bb2e30-24ba-448e-9e85-27776504bdcd,,FALSE,,,,,smtp:juergen.kirsch@bdsudemo.onmicrosoft.com+SMTP:juergen.kirsch@bdsu.it,,,,,TRUE,Team Events,DE,juergen.kirsch@bdsu.it,2020-03-28 12:29:12Z
3,,FALSE,,,,Kathrin Abend,,Kathrin,,Abend,2020-03-28 12:28:32Z,,Office 365 A5 for faculty,'+49 167 5843880,,3f17213e-4108-4e3d-9422-2e8b408c92b6,,FALSE,,,,,smtp:kathrin.abend@bdsudemo.onmicrosoft.com+SMTP:kathrin.abend@bdsu.it,,,,,TRUE,Team Vereinscontrolling,DE,kathrin.abend@bdsu.it,2020-03-28 12:28:32Z
3,,FALSE,,,,Kathrin Adler,,Kathrin,,Adler,2020-03-28 12:29:13Z,,Office 365 A5 for students,'+49 167 1867436,,e2e74aac-e8ea-4284-aebd-4a16b7cc9212,,FALSE,,,,,smtp:kathrin.adler@bdsudemo.onmicrosoft.com+SMTP:kathrin.adler@bdsu.it,,,,,TRUE,Team Vereinscontrolling,DE,kathrin.adler@bdsu.it,2020-03-28 12:29:13Z
4,,FALSE,,,,Kathrin Eiffel,,Kathrin,,Eiffel,2020-03-28 12:29:10Z,,Office 365 A5 for students,'+49 153 5035474,,9b7d8d84-1fea-4507-8218-44057d7cc438,,FALSE,,,,,smtp:kathrin.eiffel@bdsudemo.onmicrosoft.com+SMTP:kathrin.eiffel@bdsu.it,,,,,TRUE,Anwärter,DE,kathrin.eiffel@bdsu.it,2020-03-28 12:29:10Z
4,,FALSE,,,,Katja Finkel,,Katja,,Finkel,2020-03-28 12:28:41Z,,Office 365 A5 for faculty,'+49 166 0381937,,be198b40-ecb5-400a-b318-53ad927ffc9c,,FALSE,,,,,smtp:katja.finkel@bdsudemo.onmicrosoft.com+SMTP:katja.finkel@bdsu.it,,,,,TRUE,Vorstandsbereich Finanzen & Recht,DE,katja.finkel@bdsu.it,2020-03-28 12:28:41Z
5,,FALSE,,,,Katja Lang,,Katja,,Lang,2020-03-28 12:28:39Z,,Office 365 A5 for faculty,'+49 153 2054021,,0993e4a1-daa1-4902-a22d-093f2a1f48b4,,FALSE,,,,,smtp:katja.lang@bdsudemo.onmicrosoft.com+SMTP:katja.lang@bdsu.it,,,,,TRUE,Teamleiter Finanzen & Recht,DE,katja.lang@bdsu.it,2020-03-28 12:28:39Z
5,,FALSE,,,,Kevin Mayer,,Kevin,,Mayer,2020-03-28 12:28:36Z,,Office 365 A5 for faculty,'+49 154 9546915,,3e8378a6-37f0-4c9a-a744-914ecfc7b018,,FALSE,,,,,smtp:kevin.mayer@bdsudemo.onmicrosoft.com+SMTP:kevin.mayer@bdsu.it,,,,,TRUE,Beirat,DE,kevin.mayer@bdsu.it,2020-03-28 12:28:37Z
6,,FALSE,,,,Leah Busch,,Leah,,Busch,2020-03-28 12:28:35Z,,Office 365 A5 for faculty,'+49 150 9368119,,34b771c1-81cc-4ae1-841c-e1a5c435d879,,FALSE,,,,,smtp:leah.busch@bdsudemo.onmicrosoft.com+SMTP:leah.busch@bdsu.it,,,,,TRUE,Team Finanzen,DE,leah.busch@bdsu.it,2020-03-28 12:28:35Z
6,,FALSE,,,,Luca Schulze,,Luca,,Schulze,2020-03-28 12:29:08Z,,Office 365 A5 for students,'+49 153 2194065,,d2de594f-84e8-4c7e-8461-d353813c0c08,,FALSE,,,,,smtp:luca.schulze@bdsudemo.onmicrosoft.com+SMTP:luca.schulze@bdsu.it,,,,,TRUE,Team Kaltakquise,DE,luca.schulze@bdsu.it,2020-03-28 12:29:08Z
7,,FALSE,,,,Lucas Müller,,Lucas,,Müller,2020-03-28 12:29:11Z,,Office 365 A5 for students,'+49 153 2820004,,57748b42-689d-45e4-98c3-84024e8f2a48,,FALSE,,,,,smtp:lucas.mueller@bdsudemo.onmicrosoft.com+SMTP:lucas.mueller@bdsu.it,,,,,TRUE,Team Mitgliederentwicklung,DE,lucas.mueller@bdsu.it,2020-03-28 12:29:11Z
7,,FALSE,,,,Lukas Foerster,,Lukas,,Foerster,2020-03-28 12:29:08Z,,Office 365 A5 for students,'+49 166 2202438,,d0ebc03c-ad66-4231-b030-8f7bb8fb9e5d,,FALSE,,,,,smtp:lukas.foerster@bdsudemo.onmicrosoft.com+SMTP:lukas.foerster@bdsu.it,,,,,TRUE,Anwärter,DE,lukas.foerster@bdsu.it,2020-03-28 12:29:08Z
8,,FALSE,,,,Lukas Krause,,Lukas,,Krause,2020-03-28 12:28:42Z,,Office 365 A5 for faculty,'+49 153 7777508,,573199d8-b5e3-4f1e-8800-1c9dc955d48d,,FALSE,,,,,smtp:lukas.krause@bdsudemo.onmicrosoft.com+SMTP:lukas.krause@bdsu.it,,,,,TRUE,Vorstandsbereich Marketing & PR,DE,lukas.krause@bdsu.it,2020-03-28 12:28:42Z
8,,FALSE,,,,Marina Pabst,,Marina,,Pabst,2020-03-28 12:29:13Z,,Office 365 A5 for students,'+49 166 4930239,,319fc81b-db0a-465f-a444-df38f3cbc708,,FALSE,,,,,smtp:marina.pabst@bdsudemo.onmicrosoft.com+SMTP:marina.pabst@bdsu.it,,,,,TRUE,Team Recruiting,DE,marina.pabst@bdsu.it,2020-03-28 12:29:13Z
9,,FALSE,,,,Max Mustermann,,Max,,Mustermann,2020-03-28 12:28:32Z,,Office 365 A5 for faculty,'+49 154 1402276,,86445eec-81db-4742-86a7-53b833ddc223,,FALSE,,,,,smtp:max.mustermann@bdsudemo.onmicrosoft.com+SMTP:max.mustermann@bdsu.it,,,,,TRUE,passives Mitglied,DE,max.mustermann@bdsu.it,2020-03-28 12:28:32Z
9,,FALSE,,,,Maximilian Gerber,,Maximilian,,Gerber,2020-03-28 12:29:10Z,,Office 365 A5 for students,'+49 167 1063075,,384c75cf-146c-4555-b47e-3505cabed1da,,FALSE,,,,,smtp:maximilian.gerber@bdsudemo.onmicrosoft.com+SMTP:maximilian.gerber@bdsu.it,,,,,TRUE,Alumnus/a,DE,maximilian.gerber@bdsu.it,2020-03-28 12:29:10Z
10,,FALSE,,,,Nadine Herz,,Nadine,,Herz,2020-03-28 12:29:09Z,,Office 365 A5 for students,'+49 153 2487915,,870158db-ef2b-43bb-9cff-829d659a9602,,FALSE,,,,,smtp:nadine.herz@bdsudemo.onmicrosoft.com+SMTP:nadine.herz@bdsu.it,,,,,TRUE,Alumnus/a,DE,nadine.herz@bdsu.it,2020-03-28 12:29:09Z
10,,FALSE,,,,Nicole Berg,,Nicole,,Berg,2020-03-28 12:29:05Z,,Office 365 A5 for students,'+49 153 2929309,,ff708ca2-f40f-4869-b945-702b502f83d6,,FALSE,,,,,smtp:nicole.berg@bdsudemo.onmicrosoft.com+SMTP:nicole.berg@bdsu.it,,,,,TRUE,Alumnus/a,DE,nicole.berg@bdsu.it,2020-03-28 12:29:05Z
11,,FALSE,,,,Paul Ostermann,,Paul,,Ostermann,2020-03-28 12:28:38Z,,Office 365 A5 for faculty,'+49 154 2579849,,7367560e-1018-481e-8e9c-3fa42af16827,,FALSE,,,,,smtp:paul.ostermann@bdsudemo.onmicrosoft.com+SMTP:paul.ostermann@bdsu.it,,,,,TRUE,Stammtischorganisation,DE,paul.ostermann@bdsu.it,2020-03-28 12:28:38Z
11,,FALSE,,,,Sabine Busch,,Sabine,,Busch,2020-03-28 12:28:35Z,,Office 365 A5 for faculty,'+49 165 5129479,,bfd65186-ea0a-49d7-a6d2-cc9395e21a77,,FALSE,,,,,smtp:sabine.busch@bdsudemo.onmicrosoft.com+SMTP:sabine.busch@bdsu.it,,,,,TRUE,Alumnus/a,DE,sabine.busch@bdsu.it,2020-03-28 12:28:35Z
12,,FALSE,,,,Sandra Baumgaertner,,Sandra,,Baumgaertner,2020-03-28 12:28:33Z,,Office 365 A5 for faculty,'+49 165 6706947,,69589e78-7e0c-4991-8b36-7bbd0df76135,,FALSE,,,,,smtp:sandra.baumgaertner@bdsudemo.onmicrosoft.com+SMTP:sandra.baumgaertner@bdsu.it,,,,,TRUE,Anwärter,DE,sandra.baumgaertner@bdsu.it,2020-03-28 12:28:33Z
12,,FALSE,,,,Sarah Wurfel,,Sarah,,Wurfel,2020-03-28 12:28:33Z,,Office 365 A5 for faculty,'+49 150 7951807,,966b0b5d-1bc5-4bde-ad6b-768a05c339f7,,FALSE,,,,,smtp:sarah.wurfel@bdsudemo.onmicrosoft.com+SMTP:sarah.wurfel@bdsu.it,,,,,TRUE,Alumnus/a,DE,sarah.wurfel@bdsu.it,2020-03-28 12:28:33Z
13,,FALSE,,,,Sebastian Dresdner,,Sebastian,,Dresdner,2020-03-28 12:28:41Z,,Office 365 A5 for faculty,'+49 165 5470622,,292f119f-464e-4b8a-b8db-6430e5bc10fd,,FALSE,,,,,smtp:sebastian.dresdner@bdsudemo.onmicrosoft.com+SMTP:sebastian.dresdner@bdsu.it,,,,,TRUE,Vorstandsbereich Internes,DE,sebastian.dresdner@bdsu.it,2020-03-28 12:28:41Z
13,,FALSE,,,,Simone Herrmann,,Simone,,Herrmann,2020-03-28 12:28:36Z,,Office 365 A5 for faculty,'+49 165 2066280,,e74be415-889e-49ab-87c7-fe2bcff22c87,,FALSE,,,,,smtp:simone.herrmann@bdsudemo.onmicrosoft.com+SMTP:simone.herrmann@bdsu.it,,,,,TRUE,Team Recruiting,DE,simone.herrmann@bdsu.it,2020-03-28 12:28:36Z
14,,FALSE,,,,Stephan Abendroth,,Stephan,,Abendroth,2020-03-28 12:28:41Z,,Office 365 A5 for faculty,'+49 153 5741741,,7123e1b9-5a59-4abc-a43f-43b20edd922d,,FALSE,,,,,smtp:stephan.abendroth@bdsudemo.onmicrosoft.com+SMTP:stephan.abendroth@bdsu.it,,,,,TRUE,Vorstandsbereich Kundenbetreuung,DE,stephan.abendroth@bdsu.it,2020-03-28 12:28:42Z
14,,FALSE,,,,Swen Dresdner,,Swen,,Dresdner,2020-03-28 12:29:05Z,,Office 365 A5 for students,'+49 150 8679239,,40ca2b78-1cf4-424d-8c61-e7e15625ddbe,,FALSE,,,,,smtp:swen.dresdner@bdsudemo.onmicrosoft.com+SMTP:swen.dresdner@bdsu.it,,,,,TRUE,Alumnus/a,DE,swen.dresdner@bdsu.it,2020-03-28 12:29:05Z
15,,FALSE,,,,Swen Herrmann,,Swen,,Herrmann,2020-03-28 12:29:12Z,,Office 365 A5 for students,'+49 153 9417172,,63b7eebc-22ae-4816-ace0-f6124bfacc9b,,FALSE,,,,,smtp:swen.herrmann@bdsudemo.onmicrosoft.com+SMTP:swen.herrmann@bdsu.it,,,,,TRUE,passives Mitglied,DE,swen.herrmann@bdsu.it,2020-03-28 12:29:13Z
15,,FALSE,,,,Tobias Ritter,,Tobias,,Ritter,2020-03-28 12:29:06Z,,Office 365 A5 for students,'+49 150 2186395,,24556d32-ff43-4588-a616-58166cea2f72,,FALSE,,,,,smtp:tobias.ritter@bdsudemo.onmicrosoft.com+SMTP:tobias.ritter@bdsu.it,,,,,TRUE,Team Events,DE,tobias.ritter@bdsu.it,2020-03-28 12:29:06Z
,,FALSE,,,,Vanessa Theiss,,Vanessa,,Theiss,2020-03-28 12:28:33Z,,Office 365 A5 for faculty,'+49 154 7592644,,baeb5079-905a-4e28-82eb-be4cfe655f73,,FALSE,,,,,smtp:vanessa.theiss@bdsudemo.onmicrosoft.com+SMTP:vanessa.theiss@bdsu.it,,,,,TRUE,Team CRM,DE,vanessa.theiss@bdsu.it,2020-03-28 12:28:34Z
,,FALSE,,,,Yvonne Shuster,,Yvonne,,Shuster,2020-03-28 12:28:37Z,,Office 365 A5 for faculty,'+49 154 6137875,,e1521337-9e59-4078-a85a-649afcef9b75,,FALSE,,,,,smtp:yvonne.shuster@bdsudemo.onmicrosoft.com+SMTP:yvonne.shuster@bdsu.it,,,,,TRUE,Beirat,DE,yvonne.shuster@bdsu.it,2020-03-28 12:28:37Z
